ID,gonad.id,Location,Species,Date,Day,Month,Year,FL,field Sex,histology Sex,State,Stage,Fish_Weight,Gonad_Weight,phase,mature
2080,ES957,Hanalei,Kole,5/28/14,28,5,2014,16.4,F,,,,135.27,7.14,,1
2023,MO2104,Maunalua,Kole,6/6/14,6,6,2014,15.4,F,,,,,0.13,,1
1976,"HK412
HK412",Hanalei,Kole,5/18/14,18,5,2014,15.5,F,,,,115,2.98,,1
1975,HK409,Hanalei,Kole,5/18/14,18,5,2014,17,F,,,,164,2.39,,1
430,ES89,Maunalua,Kole,5/4/13,4,5,2013,17.5,M,,,,160,2.52,,1
788,ES343,Hanalei,Kole,6/16/13,16,6,2013,18.4,M,,,,198.8,4.11,,1
787,ES342,Hanalei,Kole,6/16/13,16,6,2013,18.4,M,,,,216.3,4.51,,1
786,ES341,Hanalei,Kole,6/16/13,16,6,2013,17.7,M,,,,174,2.48,,1
135,NA,Kaupulehu,Kole,1/30/13,30,1,2013,16,M,,,,85.1,0.709,,1
134,NA,Kaupulehu,Kole,1/30/13,30,1,2013,17,M,,,,113.4,1.389,,1
281,,Kaupulehu,Kole,4/11/13,11,4,2013,18.6,M,,,,140,3.7,,1
1813,,Hanalei,Kole,10/18/13,18,10,2013,20.6,M,,,,291,0.93,,1
1944,HK036,Hanalei,Kole,5/8/14,8,5,2014,20.5,M,,,,249,0.73,,1
1943,HK054,Hanalei,Kole,5/8/14,8,5,2014,18.5,M,,,,191,0.68,,1
1822,,Maunalua,Kole,4/21/14,21,4,2014,16.5,M,,,,126.66,2.77,,1
1707,MO2196,West Hawaii,Kole,4/12/14,12,4,2014,16.4,M,,,,142.6,0.78,,1
1638,ES749,Maunalua,Kole,4/13/14,13,4,2014,15,M,,,,103.3,1.08,,1
2096,ES955,Maunalua,Kole,5/28/14,28,5,2014,16,M,,,,124.62,0.27,,1
2082,ES959,Hanalei,Kole,5/28/14,28,5,2014,17.5,M,,,,178.6,7.05,,1
1947,HK041,Hanalei,Kole,5/8/14,8,5,2014,16.5,M,,,,158,0.77,,1
2024,MO2106,Maunalua,Kole,6/6/14,6,6,2014,16,M,,,,,0.26,,1
2021,MO2107,Maunalua,Kole,6/6/14,6,6,2014,18.1,M,,,,,0.42,,1
1635,ES746,Maunalua,Kole,4/13/14,13,4,2014,15.3,M,,,,112.9,0.62,,1
748,ES314,Maunalua,Kole,6/8/13,8,6,2013,15.4,M,,,,109,0.61,,1
661,,Kaupulehu,Kole,5/11/13,11,5,2013,13.9,M,,,,83.78,42,,1
660,,Kaupulehu,Kole,5/11/13,11,5,2013,15.3,M,,,,112.7,0.31,,1
659,,Kaupulehu,Kole,5/11/13,11,5,2013,16.6,M,,,,142.15,3.72,,1
2223,EK005,Maunalua,Kole,7/27/14,27,7,2014,13.3,M,,,,,0.28,,1
1634,ES745,Maunalua,Kole,4/13/14,13,4,2014,18.5,M,,,,177.5,3.25,,1
1633,ES744,Maunalua,Kole,4/13/14,13,4,2014,16,M,,,,136,0.19,,1
1563,ES699,Hanalei,Kole,3/28/14,28,3,2014,17.3,M,,,,163.7,5.97,,1
1561,ES697,Hanalei,Kole,3/28/14,28,3,2014,17.5,M,,,,159.9,2.2,,1
1438,,Maunalua,Kole,2/13/14,13,2,2014,17,M,,,,120,1.5,,1
